zip_best,State,complaint_count,zip,pop,pop_white,pop_black_or_aa,pop_ai_or_an,pop_asian,pop_nh_or_opi,pop_other,pop_multiple,pop_hol,pop_not_hol,income_mean_household_dollars,Cluster
10514,NY,29,10514,12867.0,9615.0,132.0,6.0,1707.0,2.0,249.0,857.0,731.0,11837.0,328379.0,3
10516,NY,8,10516,5585.0,4721.0,50.0,14.0,110.0,0.0,145.0,422.0,436.0,5026.0,151301.0,3
10517,NY,3,10517,417.0,362.0,27.0,2.0,21.0,0.0,88.0,49.0,162.0,387.0,113150.0,1
10518,NY,4,10518,830.0,1079.0,21.0,1.0,97.0,1.0,34.0,94.0,91.0,1236.0,235456.0,3
10520,NY,28,10520,12662.0,9875.0,623.0,48.0,570.0,2.0,807.0,1301.0,1889.0,11337.0,157593.0,3
10522,NY,27,10522,11508.0,8059.0,539.0,36.0,1062.0,2.0,724.0,1165.0,1733.0,9854.0,196619.0,3
10523,NY,196,10523,9389.0,2934.0,2149.0,136.0,1176.0,1.0,1889.0,1204.0,3309.0,6180.0,130024.0,3
10524,NY,4,10524,4344.0,3597.0,125.0,23.0,102.0,1.0,175.0,424.0,500.0,3947.0,148292.0,3
10526,NY,13,10526,1939.0,1512.0,59.0,12.0,75.0,0.0,60.0,147.0,184.0,1681.0,273431.0,3
10527,NY,1,10527,608.0,653.0,11.0,1.0,19.0,0.0,21.0,80.0,111.0,674.0,197365.0,3
10528,NY,28,10528,13352.0,9457.0,290.0,22.0,1487.0,5.0,759.0,1088.0,1730.0,11378.0,207418.0,3
10530,NY,47,10530,14090.0,8059.0,1144.0,37.0,1771.0,1.0,750.0,1275.0,1897.0,11140.0,141248.0,3
10532,NY,4,10532,5040.0,4263.0,72.0,3.0,225.0,1.0,245.0,306.0,600.0,4515.0,144280.0,3
10533,NY,19,10533,7388.0,6046.0,126.0,14.0,706.0,0.0,198.0,615.0,557.0,7148.0,238039.0,3
10535,NY,2,10535,214.0,331.0,24.0,5.0,39.0,0.0,71.0,61.0,160.0,371.0,159535.0,3
10536,NY,10,10536,10797.0,9268.0,158.0,10.0,311.0,5.0,289.0,751.0,831.0,9961.0,246529.0,3
10537,NY,4,10537,2961.0,1687.0,130.0,17.0,72.0,0.0,292.0,329.0,660.0,1867.0,107796.0,1
10538,NY,96,10538,17605.0,14745.0,409.0,30.0,908.0,7.0,504.0,1715.0,1685.0,16633.0,291256.0,3
10541,NY,83,10541,26116.0,20755.0,572.0,70.0,512.0,2.0,1506.0,2234.0,3902.0,21749.0,136810.0,3
10543,NY,78,10543,21281.0,13627.0,901.0,198.0,1116.0,5.0,2819.0,2630.0,5630.0,15666.0,182293.0,3
10546,NY,13,10546,1022.0,978.0,55.0,1.0,229.0,0.0,39.0,124.0,128.0,1298.0,267357.0,3
10547,NY,13,10547,7665.0,4844.0,523.0,33.0,369.0,1.0,682.0,841.0,1649.0,5644.0,137879.0,3
10548,NY,5,10548,4446.0,2733.0,280.0,10.0,93.0,1.0,269.0,357.0,902.0,2841.0,118367.0,1
10549,NY,36,10549,15800.0,10473.0,558.0,141.0,874.0,5.0,2728.0,2058.0,5008.0,11829.0,173220.0,3
10550,NY,605,10550,40073.0,2562.0,28508.0,290.0,644.0,24.0,5442.0,3667.0,8336.0,32801.0,64046.0,2
10552,NY,306,10552,22099.0,7169.0,8618.0,121.0,674.0,8.0,2080.0,2626.0,4111.0,17185.0,102401.0,0
10553,NY,171,10553,10526.0,456.0,9021.0,39.0,115.0,4.0,837.0,809.0,1563.0,9718.0,98814.0,1
